"filename", "language", "(Unsupported)", "JSON", "TypeScript", "SCSS", "XML", "JavaScript", "Vue", "CSS", "comment", "blank", "total"
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\index.js", "JavaScript", 0, 0, 0, 0, 0, 191, 0, 0, 2, 1, 194
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\col\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\col\index.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\col\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\col\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\col\index.wxs", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\col\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\animate.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\animate.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\index.js", "JavaScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse-item\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse\index.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 47
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\collapse\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\color.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\color.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\component.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\component.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 5, 1, 46
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\relation.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\relation.js", "JavaScript", 0, 0, 0, 0, 0, 55, 0, 0, 1, 1, 57
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\clearfix.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\ellipsis.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\hairline.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\mixins\clearfix.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\mixins\ellipsis.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\mixins\hairline.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\style\var.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\utils.d.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 5, 1, 18
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\utils.js", "JavaScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 1, 93
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\validator.d.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\validator.js", "JavaScript", 0, 0, 0, 0, 0, 30, 0, 0, 1, 1, 32
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\version.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\common\version.js", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\config-provider\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\config-provider\index.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\config-provider\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\config-provider\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\config-provider\index.wxs", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\count-down\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\count-down\index.js", "JavaScript", 0, 0, 0, 0, 0, 97, 0, 0, 3, 1, 101
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\count-down\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
